daysOfTraining,refToMaterials,averageScore,numOfIntermediateClasses,final_result_-1_0_1
17,25,54.37633795,2,1
25,18,48.29809114,0,0
23,32,42.9467978,1,1
14,36,63.24161038,1,1
24,26,38.72941723,2,1
41,42,88.43141193,3,-1
35,80,69.47684455,5,-1
37,57,78.35210357,4,-1
44,57,60.06080573,3,-1
24,23,54.73534549,2,1
13,16,50.24449511,1,1
31,41,84.32111968,5,-1
25,33,72.7394377,2,0
20,42,63.79248525,1,1
35,26,33.75180255,2,1
3,31,55.59524994,1,1
22,35,18.60163633,0,1
31,52,87.2319858,4,-1
36,46,58.3453432,0,1
35,60,73.6687165,3,-1
47,67,78.92837357,3,-1
25,35,53.85029717,2,1
33,53,49.56060166,2,1
13,40,60.53653707,1,0
19,21,45.61983557,2,1
11,32,24.80419827,0,1
17,30,42.60475066,1,1
46,56,72.67418286,3,-1
22,15,19.45433121,2,1
37,39,82.51918701,5,-1
38,48,74.14698682,5,-1
31,62,80.37913635,3,-1
51,43,72.25708494,3,0
42,58,68.09124863,5,-1
40,88,59.63983538,4,-1
36,56,82.73933647,4,-1
17,15,42.85769019,2,1
40,48,68.17832048,4,-1
49,47,74.41295193,5,-1
46,74,72.55842066,4,-1
55,51,58.63821722,5,-1
47,53,76.84438143,4,0
48,64,74.94957092,3,-1
16,26,38.70076692,2,1
16,52,33.51384581,2,1
23,28,41.66169788,1,1
26,62,74.85512653,5,-1
27,30,29.30174393,2,1
26,38,0,1,0
13,34,88.5491597,1,0
11,40,61.77125215,1,0
41,55,87.38239586,5,-1
46,81,78.46984459,4,-1
36,57,78.45312201,5,-1
26,23,49.29393509,2,1
29,71,65.93702976,4,-1
5,30,64.82190886,2,1
6,31,48.29609241,1,1
19,39,55.099949,2,1
24,38,69.540643,2,1
0,49,50.84122285,0,1
25,52,71.98446138,3,-1
53,64,79.1452123,4,-1
19,59,79.14664349,4,-1
18,25,57.773465,2,1
42,45,97.8131555,5,-1
27,82,86.26257462,5,0
37,35,70.7682186,4,-1
40,64,76.51767042,4,-1
15,26,68.74143798,2,1
2,27,30.864544,2,1
7,36,50.32799416,0,1
38,82,83.65926181,3,-1
27,55,71.61423661,4,-1
23,23,67.57544975,2,1
55,49,79.98788149,4,-1
24,33,31.38646081,0,1
49,69,69.30881891,5,0
52,62,60.6372113,4,-1
51,54,80.25121091,5,-1
27,49,65.28373451,3,-1
17,42,53.95481756,1,1
40,67,58.41824444,5,-1
47,71,67.32171782,4,-1
19,35,46.63153925,1,1
21,22,42.67011313,0,1
35,74,64.74685799,4,-1
35,49,63.28131785,5,-1
28,34,16.36659275,1,1
47,73,84.20292798,5,0
13,23,42.99068492,2,1
21,62,87.62702242,5,-1
40,72,61.0480154,5,-1
26,64,76.0469788,5,-1
35,31,64.02810192,3,-1
21,27,42.27244092,0,1
18,15,52.43850942,2,1
11,23,53.44675475,0,1
20,36,40.999029,1,1
38,59,73.19057935,3,-1
34,31,47.42402275,2,1
34,58,89.64096017,5,0
33,62,82.15565,3,-1
16,32,50.99321956,0,1
21,9,48.11013496,1,1
32,49,59.0805191,2,1
33,49,84.25759425,4,-1
51,52,54.3718887,3,-1
42,40,91.01731581,4,-1
29,38,81.39756942,4,-1
42,86,82.55679578,5,-1
15,20,42.22244887,0,1
29,22,35.54313354,1,1
4,17,21.78546806,1,0
9,12,29.64115134,1,1
34,63,81.04555175,5,-1
4,12,61.34779588,2,1
15,41,38.82588735,0,1
51,50,74.91206053,3,-1
51,66,98.86789717,4,-1
37,70,69.56410715,3,-1
29,21,75.34825992,3,-1
11,13,37.43973707,0,1
27,32,29.86896467,1,1
52,62,68.5780048,3,0
6,33,46.86226615,2,1
17,25,53.52864785,0,1
46,63,71.25927445,3,-1
15,62,67.34353665,1,0
35,58,72.96852647,5,-1
37,36,75.48311371,3,-1
15,23,50.07647926,1,1
39,62,96.30339385,4,-1
5,5,15.81476183,0,1
35,85,78.30440855,5,-1
36,46,63.95088695,3,0
27,13,59.82629236,2,1
36,14,44.27692481,1,1
41,75,94.12775523,5,-1
50,29,84.73124928,3,-1
33,60,71.4681288,3,-1
48,39,61.89518241,5,-1
35,100,81.96501297,3,-1
15,41,21.68516928,2,1
10,9,70.00170027,2,1
58,62,81.45699552,5,-1
22,63,83.3880965,5,-1
38,46,90.01763355,4,-1
26,32,65.35448889,5,0
46,82,73.08618489,4,-1
8,31,38.03044893,2,1
28,54,64.32094701,3,-1
26,15,56.52765245,2,1
31,59,82.09774293,5,-1
12,29,39.79644813,1,1
37,52,75.32804902,3,-1
20,31,23.98351293,2,1
39,71,70.65089978,4,-1
17,37,30.73882652,0,1
37,58,67.45737306,4,-1
34,61,68.582446,3,-1
25,25,69.09034521,1,1
38,63,67.52759589,4,-1
54,64,70.67654509,5,0
55,49,46.1885592,4,-1
15,34,53.66597655,2,1
36,53,62.65774054,4,-1
12,46,51.99794652,2,1
16,21,59.46450584,1,1
58,73,67.88328978,4,-1
35,51,61.52294221,4,-1
32,74,77.60813986,3,-1
15,22,49.90209756,2,1
48,67,83.88985727,3,-1
20,33,56.10792878,2,0
35,46,28.59133205,1,1
22,36,49.30837572,1,1
53,82,72.80239598,5,-1
0,24,35.04220805,1,1
44,80,65.14371843,3,-1
37,55,47.60275183,4,-1
45,47,52.85456889,3,-1
20,25,66.95980038,2,1
8,56,28.75268044,0,1
20,33,44.7753699,0,1
37,76,80.1850329,4,-1
47,70,72.69746306,3,-1
12,23,43.84313123,0,1
38,77,66.62819669,3,-1
14,16,38.02280708,0,1
47,69,79.46052802,4,-1
4,30,77.66488885,2,1
30,42,40.51697986,0,1
41,67,85.05378352,3,-1
52,43,68.51622956,4,-1
51,75,72.79929404,4,-1
25,30,55.9161111,2,1
40,49,69.47318448,5,-1
24,22,47.88837836,1,1
43,63,81.23818741,4,-1
18,46,38.76345587,2,1
31,26,39.63835404,2,1
35,20,41.53657303,1,1
7,38,41.91458384,0,1
18,24,36.56395887,1,1
13,40,36.53555432,1,1
14,13,60.85544584,0,1
24,52,71.62825886,3,-1
44,99,69.11126045,5,-1
26,21,48.30087918,1,1
38,55,77.84027625,5,-1
19,25,44.67892975,1,1
14,36,60.4343528,2,1
36,63,92.53142768,5,-1
8,23,46.24298329,2,1
53,54,63.57398567,4,-1
35,42,96.24093189,4,-1
21,36,33.84864614,2,1
25,10,56.64059654,0,1
37,44,69.62067643,5,-1
20,72,64.62108455,5,-1
33,58,89.97184182,4,-1
50,63,81.12603285,5,-1
20,40,40.63695496,0,1
18,16,62.15873759,1,1
28,82,74.59696156,3,-1
30,34,40.95746135,2,1
21,18,34.86038253,2,1
43,58,73.56201847,5,-1
35,45,24.2733645,2,1
17,33,15.48144831,0,1
33,53,20.37459827,2,1
31,80,76.47332379,5,-1
15,25,23.15293209,0,1
51,41,93.1188883,5,-1
27,36,33.02350907,2,1
33,67,97.89221005,5,-1
22,66,64.37993848,3,-1
46,56,83.7023921,4,-1
39,32,23.79942186,2,1
26,42,78.73287865,5,-1
44,81,80.0946705,4,-1
15,57,63.7150155,0,1
34,5,63.86469645,2,1
27,35,47.51748829,1,1
23,62,73.26776153,5,-1
47,75,69.62672397,3,-1
24,2,32.08231033,1,1
50,72,78.89332131,3,-1
23,65,72.97306732,5,-1
32,67,93.74330393,4,-1
27,62,81.46688304,5,-1
26,33,66.2721741,1,1
28,40,69.28718843,4,-1
8,32,45.46073748,1,1
46,74,80.98922692,5,-1
42,48,81.94141013,4,-1
28,90,76.01246128,4,-1
14,42,26.22902798,2,1
29,32,35.02092075,1,1
24,32,68.43766528,5,-1
24,71,77.95176619,3,-1
10,8,42.27393601,1,1
35,64,74.3488756,3,-1
22,37,58.42828008,2,1
36,49,43.25604554,2,1
46,60,77.97018325,4,-1
36,78,83.29482613,5,-1
16,41,54.70654558,1,1
17,28,39.83513048,2,1
30,77,85.99871953,4,-1
42,68,66.6505451,3,-1
18,27,27.53505316,1,1
33,26,30.79530723,1,1
25,21,43.13087218,2,1
24,24,41.89298749,2,1
24,24,55.02515064,0,1
38,46,76.17680506,3,-1
27,14,44.889862,2,1
36,85,70.65475752,4,-1
23,26,84.21441707,1,1
34,27,49.28688568,2,1
12,45,63.78946556,1,1
26,37,52.3089429,0,1
41,67,80.28562498,5,-1
42,65,66.43216233,5,-1
38,31,79.56998287,4,-1
17,26,34.81667326,2,1
22,75,89.5906318,4,-1
18,37,47.91828132,2,1
50,64,85.72087149,4,-1
61,52,71.93108575,5,-1
43,78,86.38869569,5,-1
40,30,78.02716151,4,-1
23,24,79.88250102,2,1
39,73,53.47512871,3,-1
33,44,81.97619321,3,-1
44,62,71.07248417,3,-1
18,33,38.92356055,1,1
16,30,28.69506789,1,1
41,44,78.83997299,4,-1
18,14,62.42580646,0,1
16,30,39.62823844,1,1
29,65,75.45143126,5,-1
54,65,90.6921451,5,-1
45,48,96.63890598,4,-1
24,37,25.53428731,1,1
60,34,75.088965,3,-1
32,58,72.74709997,4,-1
5,41,51.0755106,1,1
23,25,55.81294713,1,1
32,76,55.14798989,5,-1
55,62,86.26503339,3,-1
25,26,46.25727359,0,1
35,21,54.42745686,1,1
39,70,63.35766767,5,-1
32,73,95.74489976,5,-1
39,32,68.51810404,4,-1
25,52,73.73920591,4,-1
27,21,50.85157905,2,1
28,35,48.96774427,1,1
29,92,48.85438514,5,-1
15,44,53.3251959,4,-1
45,55,69.28975199,3,-1
12,13,72.04478297,1,1
72,47,62.78604153,5,-1
22,24,49.88177537,2,1
23,33,23.12169995,0,1
17,26,14.29994703,2,1
44,52,78.76599308,5,-1
34,55,81.56766048,4,-1
18,14,35.45258138,1,1
41,53,79.44241115,5,-1
47,20,67.33021192,3,-1
53,86,65.59045095,5,-1
35,63,64.70275211,5,-1
42,73,82.28822623,4,-1
30,34,67.89554647,5,-1
31,52,72.66350072,5,-1
23,28,23.98742515,1,1
47,55,83.97444078,4,-1
34,60,72.81275894,3,-1
40,69,60.29951446,3,-1
23,32,45.84173977,0,1
12,36,51.53608278,1,1
21,31,61.39627545,0,1
11,22,61.75323938,2,1
51,55,86.50971421,4,-1
43,80,79.67188274,3,-1
8,16,60.44199018,2,1
18,50,71.66264844,0,0
27,31,46.73764941,1,1
42,40,92.64341461,5,-1
17,20,38.33728388,0,1
12,21,56.779853,0,1
27,41,48.47625434,0,1
44,67,81.51068397,4,-1
53,43,76.96641222,3,-1
17,28,12.89060029,1,1
23,36,39.96101384,0,1
48,79,82.5893956,3,-1
33,44,60.8857449,3,-1
54,60,75.33105821,3,-1
10,35,53.19195319,0,1
20,40,60.59940681,2,1
53,67,72.67516535,5,-1
17,42,60.14840016,2,1
54,59,73.98711989,4,-1
13,38,13.10103551,2,1
8,22,12.76364074,1,1
12,17,48.80225625,1,1
22,67,67.24857667,4,-1
40,44,77.65442823,3,-1
45,41,59.89162615,5,-1
39,57,83.36582306,4,-1
26,95,91.71571138,5,-1
16,23,32.71538456,1,1
22,28,46.76838447,2,1
32,81,84.27850618,3,-1
19,69,91.97984593,4,-1
39,93,76.54059491,5,-1
14,30,36.39330534,2,1
55,73,70.95064331,5,-1
23,19,68.04588039,1,1
14,30,49.15309725,0,1
28,23,27.37711244,2,1
33,32,85.83231375,3,-1
13,18,15.17807969,2,1
13,21,77.1644504,2,1
16,32,40.62691266,0,1
29,10,54.29394186,1,1
24,37,39.95830677,0,1
38,76,86.76416018,5,-1
35,60,75.20495434,4,-1
11,12,58.31848227,2,1
23,40,25.68510152,2,1
41,46,82.52737688,5,-1
17,49,47.64540247,0,1
28,16,39.28661539,0,1
42,45,68.54390232,5,-1
9,73,76.51150489,3,-1
28,33,79.04519283,3,-1
34,63,62.14802192,3,-1
3,24,74.14914451,2,1
43,60,87.0754464,4,-1
49,38,80.01102952,4,-1
44,58,74.68457324,4,-1
20,38,25.72810229,1,1
4,44,44.07064682,2,1
32,54,77.01333411,3,-1
45,54,86.94055425,4,-1
43,49,77.92189478,5,-1
44,50,79.9122956,4,-1
49,68,75.13738437,5,-1
8,17,58.96456984,1,1
22,46,27.97639359,1,1
7,39,44.0944849,1,1
18,32,67.25942283,2,1
24,62,91.98347399,3,-1
38,51,72.47898876,3,-1
7,35,52.15135055,2,1
12,26,73.28563753,2,1
20,32,31.28581287,0,1
46,54,51.80225182,5,-1
0,24,14.72774307,1,1
42,55,87.75194756,4,-1
36,21,42.69176378,0,1
39,36,41.81320743,0,1
39,58,73.6841822,4,-1
43,56,78.63953176,5,-1
13,48,52.53025292,1,1
15,33,66.22086246,1,1
0,26,48.74962754,2,1
23,11,54.7771131,1,1
25,22,31.9955262,0,1
27,64,74.19879243,5,-1
22,15,24.83186654,0,1
41,48,56.94625083,5,-1
0,32,30.95144181,0,1
16,21,43.37277914,1,1
37,79,71.09592008,4,-1
13,14,46.65052985,1,1
28,74,82.32265131,3,-1
17,46,18.35267285,2,1
46,46,69.46231895,5,-1
35,66,63.84738965,3,-1
21,67,74.98436899,3,-1
46,80,87.68810076,3,-1
51,79,77.38452573,3,-1
53,79,86.31831587,4,-1
14,12,53.84491567,2,1
31,65,70.55220437,5,-1
28,51,25.46336704,0,1
28,28,59.23534067,0,1
13,46,34.72130923,2,1
32,37,74.99543862,3,-1
30,63,77.44509596,3,-1
19,32,80.27209,1,1
38,79,85.04108401,4,0
59,92,70.11233711,3,0
51,69,71.75211382,4,0
17,33,55.65100543,1,1
31,70,76.27043452,5,-1
53,53,66.8800373,3,0
14,30,19.69324037,1,1
36,103,71.41806904,5,-1
50,49,96.85092657,3,-1
50,63,53.32950518,5,0
26,24,33.56595748,0,1
23,35,17.15766286,0,1
49,62,73.96589732,3,-1
31,39,51.28545403,2,1
42,46,73.71161009,4,-1
37,35,76.45586569,5,-1
6,20,37.46145971,1,1
26,33,47.7893966,0,1
12,17,56.5454885,2,1
52,66,82.54306168,5,-1
9,31,21.6914769,0,1
15,23,33.3200597,2,1
34,51,55.63797824,3,-1
15,26,44.23970042,0,1
37,85,92.1828575,5,-1
13,14,37.1432636,2,1
53,53,93.84687075,3,-1
25,61,69.20709337,4,-1
22,21,42.39401448,0,1
10,31,40.07629235,0,1
23,16,78.02027692,1,1
10,28,29.73498489,0,1
28,37,58.65215707,0,1
18,24,42.23588432,0,1
58,42,65.26393849,3,-1
32,84,84.203905,3,-1
3,15,35.75967894,2,1
45,61,89.35196869,5,-1
31,73,65.56452285,4,-1
37,22,41.53312457,2,1
49,54,75.73974143,5,-1
22,46,73.41567777,0,1
9,13,38.9078547,1,1
15,35,59.24030357,0,1
34,42,68.70582002,3,-1
36,77,64.60379786,3,-1
14,43,68.15917932,2,1
31,57,66.71643467,3,-1
56,78,85.16314701,3,-1
34,23,69.50573833,3,-1
19,21,57.06753468,0,1
64,44,70.06636505,3,-1
27,20,46.69292484,2,1
47,47,72.95077504,5,-1
41,84,82.69145917,4,-1
58,62,75.90686639,5,-1
24,15,38.31757426,2,1
74,54,81.06242708,3,-1
19,38,48.42747627,2,1
15,43,28.3594417,0,1
18,4,49.65009011,1,1
15,45,72.91730484,2,1
51,58,70.78847471,4,-1
20,31,48.63656131,2,1
32,44,89.99290659,4,-1
27,39,71.51485963,5,-1
47,65,85.41233948,3,-1
24,83,73.63894461,3,-1
42,52,95.84866197,4,-1
25,72,62.15994187,4,-1
32,28,28.59406805,0,1
38,62,73.01972967,4,-1
49,68,71.49390005,4,-1
51,60,72.97997347,4,-1
43,35,65.49062804,3,-1
23,38,67.59796298,0,1
29,25,49.45431149,0,1
24,23,48.88217083,1,1
21,49,46.21958164,2,1
11,28,60.74745004,1,1
42,43,76.23373737,4,-1
35,18,59.89454428,1,1
59,59,60.06805502,3,-1
46,51,63.33052795,5,-1
19,41,59.41922865,3,-1
15,22,32.41343394,0,1
24,67,79.3381949,4,-1
11,14,37.65436153,2,1
43,47,97.18508384,5,-1
34,52,60.10768463,3,-1
48,76,80.45308264,5,-1
23,53,75.42906161,4,-1
18,14,59.4972714,2,1
26,24,84.77424525,5,-1
14,23,56.29564138,1,1
21,44,44.99955846,1,1
56,37,70.84244526,5,-1
34,67,58.61137859,3,-1
51,52,67.57383625,3,-1
39,45,57.94050507,4,-1
17,28,51.93412239,1,1
51,58,82.15556995,5,-1
19,50,72.214939,1,1
28,66,65.82329136,4,-1
42,55,71.63787318,4,-1
51,46,94.63592073,4,-1
45,82,65.29818908,5,-1
41,50,67.08539358,3,-1
42,47,89.72334842,3,-1
12,41,70.80016544,0,1
18,25,54.72420115,1,1
38,49,90.39510657,4,-1
55,65,80.85022288,3,-1
49,64,72.72816434,3,-1
39,56,76.03246465,5,-1
36,42,79.65804413,4,-1
49,58,68.62067811,5,-1
44,67,71.96858978,3,-1
24,14,60.48958454,0,1
12,26,38.21643157,1,1
38,47,52.10237316,5,-1
20,61,66.97136688,4,-1
12,37,38.31446954,0,1
26,57,38.51618004,1,0
46,74,73.62589835,5,-1
46,59,70.7814747,4,-1
23,24,41.04414077,1,1
41,49,74.28049923,5,-1
22,37,67.14481705,3,-1
37,70,82.65443326,4,-1
37,42,78.02772239,3,-1
50,79,75.91071419,4,-1
42,47,60.6640446,3,-1
18,29,73.51812709,0,1
19,42,69.46672752,3,-1
14,33,47.98328695,1,1
29,23,14.16738306,2,1
9,24,43.3709549,1,1
21,34,39.04729821,1,1
9,38,31.19428692,0,1
2,13,29.82605551,0,1
52,55,77.71284742,3,-1
35,54,83.66024695,3,-1
54,71,83.99594799,3,-1
13,30,63.06375641,2,1
17,47,54.93030392,2,1
38,13,17.70480726,2,1
10,35,19.35417991,0,1
11,14,64.28471316,2,1
22,20,57.04368561,2,1
30,48,55.12455069,3,-1
46,72,81.61833598,5,-1
30,68,74.19161799,4,-1
31,65,68.33417749,4,-1
39,63,49.32722083,3,-1
40,63,64.69193199,3,-1
32,36,67.10357034,2,1
38,44,80.83375029,4,-1
8,14,47.00917395,2,1
19,19,49.98827639,1,1
31,17,25.87562302,2,1
58,47,59.66878537,4,-1
26,11,42.60339635,2,1
23,30,50.92851272,2,1
22,21,71.42770683,2,1
29,32,63.11257581,1,1
41,64,78.81933068,5,-1
11,51,54.40763133,2,1
49,55,67.97616219,3,-1
18,35,51.64700699,2,1
33,62,75.50952414,4,-1
38,57,70.96612906,4,-1
27,41,45.04069234,1,1
0,27,56.98789286,1,1
42,46,64.34007362,3,-1
34,83,69.38692467,5,-1
19,23,32.989723,1,1
0,40,34.76328854,2,1
43,79,81.51114572,3,-1
40,56,69.71777598,5,-1
25,29,63.57129227,0,1
37,82,59.42050724,5,-1
20,83,65.77748861,4,-1
25,25,37.48604414,1,1
36,63,67.73247783,3,-1
32,78,75.737511,5,-1
14,37,44.16255585,1,1
3,6,57.67995698,0,1
37,66,72.82558238,5,-1
48,59,79.31982901,4,-1
33,77,62.9567648,5,-1
38,71,62.5278478,5,-1
8,20,48.06696892,1,1
11,13,49.98875535,2,1
39,71,86.35071568,4,-1
22,38,17.61179319,2,1
27,61,89.63085804,3,-1
23,20,47.21342714,2,1
26,47,82.88045595,5,-1
43,81,80.17015816,4,-1
22,88,58.30155924,4,-1
39,60,50.51730617,4,-1
19,29,50.87863119,1,1
0,23,36.97955511,0,1
37,31,77.55798832,3,-1
43,48,72.09269531,5,-1
58,62,76.93375428,4,-1
21,41,64.59012725,1,1
42,50,63.0311249,4,-1
43,51,86.7724807,3,-1
38,76,98.51339334,3,-1
46,62,77.9451061,3,-1
39,73,73.91332255,3,-1
49,69,83.68117838,5,-1
10,28,49.81475456,2,1
31,55,89.2899651,4,-1
20,46,55.04950835,2,1
25,9,42.39663337,1,1
34,30,79.58983803,3,-1
23,58,75.45754795,3,-1
19,34,47.13584455,0,1
33,56,71.7666326,4,-1
31,15,45.8316527,0,1
29,83,69.43661652,5,-1
28,45,67.60596842,4,-1
19,11,49.24935786,1,1
27,56,68.98851049,4,-1
